User ID,Age,Email,Favorite Meal,Order Date,Meal Type_x,Dish Name_x,Amount (USD),Rating,Dish Name_y,Meal Type_y,Session Start,Session Rating,Age Group
U001,28,alice@email.com,Dinner,01-12-2024,Dinner,Spaghetti,15,5,Spaghetti,Dinner,01-12-2024 19:00,4.5,20-30
U001,28,alice@email.com,Dinner,01-12-2024,Dinner,Spaghetti,15,5,Pancakes,Breakfast,02-12-2024 07:30,4.2,20-30
U001,28,alice@email.com,Dinner,01-12-2024,Dinner,Spaghetti,15,5,Grilled Chicken,Dinner,05-12-2024 19:00,4.9,20-30
U001,28,alice@email.com,Dinner,02-12-2024,Breakfast,Pancakes,8,4,Spaghetti,Dinner,01-12-2024 19:00,4.5,20-30
U001,28,alice@email.com,Dinner,02-12-2024,Breakfast,Pancakes,8,4,Pancakes,Breakfast,02-12-2024 07:30,4.2,20-30
U001,28,alice@email.com,Dinner,02-12-2024,Breakfast,Pancakes,8,4,Grilled Chicken,Dinner,05-12-2024 19:00,4.9,20-30
U001,28,alice@email.com,Dinner,05-12-2024,Dinner,Grilled Chicken,12,5,Spaghetti,Dinner,01-12-2024 19:00,4.5,20-30
U001,28,alice@email.com,Dinner,05-12-2024,Dinner,Grilled Chicken,12,5,Pancakes,Breakfast,02-12-2024 07:30,4.2,20-30
U001,28,alice@email.com,Dinner,05-12-2024,Dinner,Grilled Chicken,12,5,Grilled Chicken,Dinner,05-12-2024 19:00,4.9,20-30
U002,35,bob@email.com,Lunch,01-12-2024,Lunch,Caesar Salad,10,4,Caesar Salad,Lunch,01-12-2024 12:00,4,30-40
U002,35,bob@email.com,Lunch,01-12-2024,Lunch,Caesar Salad,10,4,Spaghetti,Dinner,03-12-2024 18:30,4.3,30-40
U002,35,bob@email.com,Lunch,01-12-2024,Lunch,Caesar Salad,10,4,Oatmeal,Breakfast,05-12-2024 07:00,4.1,30-40
U002,35,bob@email.com,Lunch,03-12-2024,Dinner,Spaghetti,14,4,Caesar Salad,Lunch,01-12-2024 12:00,4,30-40
U002,35,bob@email.com,Lunch,03-12-2024,Dinner,Spaghetti,14,4,Spaghetti,Dinner,03-12-2024 18:30,4.3,30-40
U002,35,bob@email.com,Lunch,03-12-2024,Dinner,Spaghetti,14,4,Oatmeal,Breakfast,05-12-2024 07:00,4.1,30-40
U002,35,bob@email.com,Lunch,05-12-2024,Breakfast,Oatmeal,7,4,Caesar Salad,Lunch,01-12-2024 12:00,4,30-40
U002,35,bob@email.com,Lunch,05-12-2024,Breakfast,Oatmeal,7,4,Spaghetti,Dinner,03-12-2024 18:30,4.3,30-40
